Source,Target,Weight,Type
Stein_Buttons,Bronte_Vilette,1,undirected
Stein_Buttons,Dickens_Expectations,3,undirected
Stein_Buttons,Stein_Americans,2,undirected
Stein_Buttons,Stein_Lives,1,undirected
Stein_Buttons,Twain_Huckleberry,4,undirected
Stein_Buttons,Twain_Sawyer,3,undirected
Stein_Buttons,Wharton_House,1,undirected
Stein_Buttons,Wharton_Valley,6,undirected
Stein_Buttons,Woolf_Lighthouse,1,undirected
Stein_Lives,Bronte_Shirley,2,undirected
Stein_Lives,Fitzgerald_Tender,7,undirected
Stein_Lives,Lawrence_Sons,5,undirected
Stein_Lives,Stein_Americans,15,undirected
Stein_Lives,Stein_Buttons,1,undirected
Stein_Lives,Twain_Huckleberry,5,undirected
Stein_Lives,Wharton_House,2,undirected
Twain_Huckleberry,Dickens_Expectations,7,undirected
Twain_Huckleberry,Fitzgerald_Tender,5,undirected
Twain_Huckleberry,Stein_Buttons,4,undirected
Twain_Huckleberry,Stein_Lives,5,undirected
Twain_Huckleberry,Twain_Sawyer,12,undirected
Twain_Prince,Bronte_Jane,2,undirected
Twain_Prince,Dickens_Oliver,1,undirected
Twain_Prince,Dickens_Tale,10,undirected
Twain_Prince,Twain_Sawyer,22,undirected
Twain_Prince,Wharton_Valley,1,undirected
Twain_Sawyer,Dickens_Expectations,5,undirected
Twain_Sawyer,Fitzgerald_Damned,1,undirected
Twain_Sawyer,Fitzgerald_Gatsby,2,undirected
Twain_Sawyer,Fitzgerald_Tender,6,undirected
Twain_Sawyer,Stein_Buttons,3,undirected
Twain_Sawyer,Twain_Huckleberry,12,undirected
Twain_Sawyer,Twain_Prince,22,undirected
Wharton_House,Bronte_Shirley,1,undirected
Wharton_House,Bronte_Vilette,3,undirected
Wharton_House,Fitzgerald_Damned,1,undirected
Wharton_House,Fitzgerald_Tender,1,undirected
Wharton_House,Stein_Buttons,1,undirected
Wharton_House,Stein_Lives,2,undirected
Wharton_House,Wharton_Innocence,24,undirected
Wharton_House,Wharton_Valley,20,undirected
Wharton_Innocence,Fitzgerald_Damned,7,undirected
Wharton_Innocence,Fitzgerald_Gatsby,1,undirected
Wharton_Innocence,Fitzgerald_Tender,12,undirected
Wharton_Innocence,Wharton_House,24,undirected
Wharton_Innocence,Wharton_Valley,8,undirected
Wharton_Innocence,Woolf_Dalloway,2,undirected
Wharton_Innocence,Woolf_Lighthouse,1,undirected
Wharton_Valley,Bronte_Vilette,7,undirected
Wharton_Valley,Stein_Americans,3,undirected
Wharton_Valley,Stein_Buttons,6,undirected
Wharton_Valley,Twain_Prince,1,undirected
Wharton_Valley,Wharton_House,20,undirected
Wharton_Valley,Wharton_Innocence,8,undirected
Woolf_Dalloway,Fitzgerald_Tender,6,undirected
Woolf_Dalloway,Stein_Americans,2,undirected
Woolf_Dalloway,Wharton_Innocence,2,undirected
Woolf_Dalloway,Woolf_Lighthouse,24,undirected
Woolf_Dalloway,Woolf_Years,13,undirected
Woolf_Lighthouse,Fitzgerald_Tender,5,undirected
Woolf_Lighthouse,Lawrence_Rainbow,2,undirected
Woolf_Lighthouse,Stein_Americans,3,undirected
Woolf_Lighthouse,Stein_Buttons,1,undirected
Woolf_Lighthouse,Wharton_Innocence,1,undirected
Woolf_Lighthouse,Woolf_Dalloway,24,undirected
Woolf_Lighthouse,Woolf_Years,17,undirected
Woolf_Years,Fitzgerald_Tender,4,undirected
Woolf_Years,Woolf_Dalloway,13,undirected
Woolf_Years,Woolf_Lighthouse,17,undirected
